	dim1	dim2
1001701101_J2	-9133.566217862113	325.996951292612
1001701101_J3	-9045.90661877016	-116.40625469922863
1001701101_J4	-9066.541953720529	299.21421914347144
1001701101_J5	-9242.799252675095	-290.7943651704446
1001701101_J6	-9020.564210575383	-25.59902313101782
1001701101_J7	-9071.122561536842	4.69948366463533
1001701101_J8	-8723.23470505464	79.40966191679287
1001701101_J9	-8851.426691211213	227.25938067049788
1001701101_J15	-8759.907786578788	355.48443042833105
1001701101_J19	-9238.78069402271	-79.34866941470472
1001701101_J20	-9166.51190042679	289.75427266449594
1001701101_J22	-8714.398489529756	157.7864368336593
1001701101_J23	-8962.30552501375	332.4200255333499
1001701101_K1	-8883.603642552569	-240.0209359948951
1001701101_K2	-8794.844374658427	-256.3311389872269
1001701101_K3	-9087.454804523424	-174.50763643704292
1001701101_K4	-9096.153355260492	-352.37970796944495
1001701101_K5	-9143.780814623959	-3.663407100537157
1001701101_K6	-8695.032121231045	188.9726489223054
1001701101_K7	-8800.78780176737	-66.10261002200315
1001701101_K8	-9091.217657395886	-36.51026082204604
1001701101_K11	-8895.665945299676	469.34636658768443
1001701101_K14	-8810.063606091277	-155.12465445870262
1001701101_K15	-9219.517193998763	297.99363615862524
1001701101_K19	-8765.391365004149	196.38098984001363
1001701101_K20	-8540.476550699259	227.65707694231577
1001701101_K21	-8949.759264467199	47.397182495144904
1001701101_K22	-8954.251821863081	186.61100132894776
1001701101_K23	-8829.654786949934	-43.58846736686117
1001701101_L1	-8669.334370871073	-53.911452954694
1001701101_L2	-8990.19635914037	-54.291246162724846
1001701101_L3	-8920.504856183712	-129.370354090197
1001701101_L4	-8593.78484525714	-385.13502868994135
1001701101_L5	-9091.478826179173	-460.8297701335048
1001701101_L6	-8979.624205286433	87.43125143819027
1001701101_L7	-8603.559100018827	-382.5219824896606
1001701101_L8	-9081.42554340535	-95.35374990642589
1001701101_L12	-8741.737507194677	475.1672245823509
1001701101_L14	-8838.751139698996	373.99885603286015
1001701101_L16	-9037.381868669496	701.7021075180197
1001701101_L21	-8739.16680648797	140.9511833307702
1001701101_L22	-9195.073906934354	-353.0747691438227
1001701101_L23	-9016.916438428849	235.644473383702
