	dimension 1	dimension 2
1001701205_L20	-5.0430326	6.2939844
1001701205_L21	8.211258	0.7291685
1001701205_M12	12.877511	2.3555644
1001701205_M13	18.06422	-2.7114809
1001701205_M14	-4.1579576	1.5562621
1001701205_M16	2.651297	10.792299
1001701205_M18	-4.6972923	16.581842
1001701205_M19	4.922669	-34.690815
1001701205_M20	-10.331602	24.818342
1001701205_M21	8.097215	-36.78839
1001701205_N11	9.87007	-2.7376559
1001701205_N13	-4.6445956	-8.0121975
1001701205_N14	-1.8673191	3.5127478
1001701205_N15	10.988285	-0.75775987
1001701205_N16	3.0450208	-4.032439
1001701205_N17	17.66093	-2.3563225
1001701205_N18	8.270196	16.942242
1001701205_N19	15.143915	10.674536
1001701205_N20	-6.782308	4.279502
1001701205_N21	9.544292	-23.904427
1001701205_N22	-1.9041669	28.765844
1001701205_O6	9.55101	-0.11532704
1001701205_O7	-20.177822	-16.020245
1001701205_O11	13.487684	-4.4723783
1001701205_O12	11.113661	18.076548
1001701205_O13	9.649974	-0.9709731
1001701205_O14	14.823953	0.8762193
1001701205_O15	-4.4180365	-5.731844
1001701205_O16	3.1710677	27.67809
1001701205_O18	19.71118	5.80201
1001701205_O19	-5.8907204	-12.521705
1001701205_O20	4.645272	28.609545
1001701205_O21	-5.0604353	2.6800165
1001701205_O22	-7.065273	32.550457
1001701205_O23	20.47657	6.1778455
1001701205_P9	41.61412	-46.39489
1001701205_P12	11.566145	-1.7170954
1001701205_P13	-5.6860147	8.901713
1001701205_P14	-0.28267527	11.468233
1001701205_P15	0.74964195	25.906303
1001701205_P16	18.97656	-2.2738714
1001701205_P17	6.424187	2.7456603
1001701205_P18	6.3269787	-1.47232
1001701205_P19	7.267055	5.1798153
1001701205_P20	7.0344152	-3.8893917
1001701205_P21	20.182375	12.61553
1001701205_P22	12.639334	7.6287336
1001701205_P23	0.59269416	-5.411396
1001701301_A9	9.20858	-21.102476
1001701301_A11	12.262677	4.546147
1001701301_A20	32.827072	-45.648743
1001701301_B16	43.928207	-50.521595
1001701301_C1	33.213596	-43.67789
1001701301_C12	6.846698	2.9353433
1001701301_E9	31.370892	-52.551785
1001701301_E13	25.371416	-47.02812
1001701301_F16	32.126354	-52.401276
1001701301_F22	36.249386	-55.14563
