	dimension 1	dimension 2
1001701601_O16	-8.143886	-7.0614977
1001701601_P11	-13.142173	6.075237
1001701601_P12	-12.466728	-6.1987033
1001701601_P13	-3.7970023	11.385819
1001701601_P14	-13.274701	-1.0836514
1001701601_P15	-12.657588	8.443962
1001701603_D7	11.807619	-6.426208
1001701603_G12	10.527197	4.533696
1001701603_J7	14.859094	-9.359647
1001701603_J12	10.745644	-9.128776
1001701605_A2	-10.021835	-2.5224025
1001701605_A11	1.0570933	9.269083
1001701605_B2	-1.3185099	5.9331226
1001701605_B4	-10.540991	12.824462
1001701605_B7	-0.29675657	14.8296995
1001701605_B18	10.24283	7.9358387
1001701605_C8	-3.2442405	9.861392
1001701605_D8	-8.59381	-8.106909
1001701605_D10	1.9367423	12.803514
1001701605_E2	13.341928	3.281623
1001701605_F5	-5.694561	-4.4238367
1001701605_F9	11.720572	-6.4829607
1001701605_F10	10.056406	-7.327911
1001701605_G1	10.110374	7.919699
1001701605_G3	2.0441523	6.203657
1001701605_G8	4.0020347	7.1275444
1001701605_H3	1.9537816	11.3541
1001701605_H9	-9.620107	-5.514713
1001701605_H10	-6.6918344	-4.5328555
1001701605_I1	3.82639	3.310053
1001701605_I7	-7.759932	-10.131762
1001701605_J4	3.911293	0.21959218
1001701605_J6	-8.377286	2.7617242
1001701605_J7	-12.227461	6.2786293
1001701605_J8	-11.938474	8.431011
1001701605_J10	-13.243661	-0.19327036
1001701605_K3	0.40367475	-1.9510502
1001701605_L11	3.2751215	7.8511505
1001701605_M8	3.7547033	-3.8223343
1001701605_N1	10.512923	-8.855376
1001701605_N6	-4.516012	-7.2141137
1001701605_O3	-6.134846	1.5170008
1001701605_O6	-7.3466725	-5.769118
1001701605_P2	10.917361	-8.547265
1001701605_P6	9.191749	12.619779
1001701605_P10	1.904834	12.989836
1001701605_P11	-8.433764	-9.684671
1001701605_P15	13.345473	-8.928008
1001701602_A12	-8.138444	-10.03433
1001701602_A13	-11.414612	11.623424
1001701602_A14	-4.927569	4.4870925
1001701602_A15	0.88294727	14.779166
1001701602_A16	-9.718555	3.0924122
1001701602_A22	3.0567298	14.720177
1001701602_B9	-11.207065	4.022678
1001701602_B10	5.879941	12.591941
1001701602_B11	-3.371094	8.4722
1001701602_B12	-4.4223175	1.3551353
1001701602_B13	-1.2173253	6.9875984
1001701602_B14	-4.561511	-8.047135
1001701602_B15	-0.6435886	2.6101146
1001701602_B16	-4.0836225	-3.3352659
1001701602_B18	8.3244095	10.415933
1001701602_B21	-12.359763	-4.2423444
1001701602_B23	-1.8729062	-5.2447214
1001701602_C9	1.8132128	7.350387
1001701602_C12	-8.915346	4.0121436
1001701602_C13	-4.082238	2.4908192
1001701602_C14	-2.342502	0.72934616
1001701602_C15	4.504066	10.247085
1001701602_C16	-9.25864	9.755895
1001701602_C18	-7.2061987	7.9442058
1001701602_C22	-4.1983523	3.545805
1001701602_D9	-0.5370337	10.0127735
1001701602_D11	-4.6445937	-5.5558786
1001701602_D12	-10.500198	-3.248557
1001701602_D13	-4.200526	-3.0248327
1001701602_D14	-13.844336	0.66468006
1001701602_D15	-8.226593	3.0446405
1001701602_D16	8.611029	12.986005
1001701602_E3	-0.120389596	-4.959788
1001701602_E11	-10.907877	5.6482835
1001701602_E12	8.753015	8.767792
1001701602_E13	-5.4129815	4.136716
1001701602_E19	-10.36267	12.251697
1001701602_E22	-8.728761	8.687475
1001701602_F10	-1.3975449	1.9342042
1001701602_F11	-3.977541	4.230745
1001701602_F12	2.5463016	13.995853
1001701602_F14	4.343472	10.146652
1001701602_F18	-2.8283226	1.846247
1001701602_F20	2.3941925	-0.6889172
1001701602_G9	-1.9224724	-3.1684985
1001701602_G11	1.7260315	4.062012
1001701602_G13	3.3372793	9.744806
1001701602_G17	0.5835827	4.225967
1001701602_G18	-5.9838095	9.63994
1001701602_G20	-2.0585992	1.7692012
1001701602_G21	11.176691	2.574803
1001701602_H4	10.999712	-12.023891
1001701602_H10	-4.2036457	5.8711863
1001701602_H11	-10.815391	3.8901634
1001701602_H12	-9.872008	5.715023
1001701602_H13	-0.097460285	3.5318482
1001701602_H14	-7.5233316	0.91431385
1001701602_H15	-2.633062	0.12866467
1001701602_H17	-7.8456364	3.5092847
1001701602_H21	-12.670369	-9.816823
1001701602_H22	-3.7295015	7.538024
1001701602_I9	1.3807052	2.660155
1001701602_I10	-12.059392	1.6968429
1001701602_I12	-7.3558125	10.061854
1001701602_I13	-8.761918	-10.731564
1001701602_I15	-8.834844	-10.916574
