	dimension 1	dimension 2
1001701401_E4	4.434288	8.282265
1001701401_E5	13.844198	-4.1470284
1001701401_E7	-0.23430125	-15.674617
1001701401_E18	-16.38854	1.4364306
1001701401_E19	-14.928543	4.296328
1001701401_E20	-18.527191	15.182876
1001701401_F4	2.7728136	-9.706235
1001701401_F5	24.656324	1.2884018
1001701401_F7	20.545086	-5.618591
1001701401_F8	3.7912915	5.440965
1001701401_F17	-8.243777	3.0502548
1001701401_F20	-15.52338	14.365879
1001701401_G2	8.871203	2.0127957
1001701401_G7	3.5945437	-9.541146
1001701401_G10	-28.10623	-5.0135064
1001701401_G18	-21.081627	7.94306
1001701401_G19	-27.799568	0.07643959
1001701401_G23	14.598538	7.184402
1001701401_H3	5.3080554	3.0449526
1001701401_H5	-23.340387	-4.8397274
1001701401_H7	13.024886	3.3045654
1001701401_H17	-15.8321295	5.4112644
1001701401_H18	-29.569311	-3.7771463
1001701401_H20	-23.523493	-1.9420997
1001701401_H23	-15.021867	5.329083
1001701401_I1	29.15784	-3.6859496
1001701401_I2	5.9774904	0.7755716
1001701401_I5	-24.412746	0.66303676
1001701401_I6	12.930896	-3.5763073
1001701401_I7	28.09968	1.4413278
1001701401_I8	23.302814	3.5935652
1001701401_I19	-18.37716	5.326276
1001701401_I20	26.051233	5.83989
1001701401_I23	-22.859804	12.0615015
1001701401_J1	-0.34335345	10.489635
1001701401_J2	21.813416	-5.1880336
1001701401_J3	7.500874	-11.20213
1001701401_J6	-29.779127	-2.5844197
1001701401_J18	-17.770306	16.534071
1001701401_J19	-17.568888	14.09423
1001701401_J23	-11.303626	7.4518533
1001701401_K3	-23.68499	2.704854
1001701401_K8	17.801886	-12.939674
1001701401_K17	-19.639328	12.171184
1001701401_K20	-17.481194	15.458691
1001701401_K23	-12.799704	5.4688153
1001701401_L1	-24.31759	-0.9771222
1001701401_L4	-18.858236	-5.1868267
1001701401_L5	5.7844467	-16.838821
1001701401_L17	-2.175032	3.0862534
1001701401_L19	22.073463	-10.316767
1001701401_L23	-19.136057	-2.9159977
1001701401_M4	-26.087183	4.9143376
1001701401_M5	14.684441	-13.991641
1001701401_M7	-25.360378	-4.79776
1001701401_M8	17.14721	-9.642519
1001701401_M19	-24.688978	-3.988077
1001701401_M20	-26.413546	-3.6587372
1001701401_M21	-29.33966	-1.5203001
1001701401_M23	1.886115	4.5220013
1001701401_N1	-2.9743314	-12.722201
1001701401_N2	-0.23189233	-13.203866
1001701401_N3	8.355969	-10.847732
1001701401_N4	0.58706474	-14.346134
1001701401_N5	1.7521876	1.8614665
1001701401_N6	-24.637062	2.5666473
1001701401_N8	14.632745	-4.215703
1001701401_N17	-2.1987126	9.33571
1001701401_N18	-17.870424	3.8797665
1001701401_N20	-24.748049	-4.0293045
1001701401_N21	-21.779993	4.046416
1001701401_O1	-2.9037642	-0.54130924
1001701401_O4	-0.7354357	13.691212
1001701401_O5	-14.003684	13.423044
1001701401_O8	19.323174	-0.3994688
1001701401_O19	-16.968952	-3.9163926
1001701401_O20	-23.356182	-3.125564
1001701401_O22	-21.865772	-2.9930098
1001701401_P2	-2.9544828	6.8785596
1001701401_P3	-12.79567	8.625616
1001701401_P5	7.46079	-8.105781
1001701401_P7	12.525777	-15.399585
1001701401_P8	-21.804972	-5.407088
1001701401_P9	-28.234077	-3.468325
